year,co2,co2_per_capita
1900,8325.814,110.42099999999999
1901,8507.804,113.045
1902,8666.734,114.386
1903,9335.712,119.911
1904,9465.048999999999,122.421
1905,9987.748,125.578
1906,10447.269,133.74699999999999
1907,11753.666,146.71800000000002
1908,11481.589,148.117
1909,11819.295,146.652
1910,12291.567,154.435
1911,12546.899000000001,155.86
1912,13115.24,164.718
1913,14202.117,178.108
1914,12832.836000000001,158.622
1915,12530.428,150.063
1916,13438.315,155.57399999999998
1917,13874.046,150.312
1918,13452.11,143.738
1919,11647.692,130.707
1920,13548.025,152.562
1921,12022.902,140.748
1922,12758.565,148.004
1923,13964.11,161.536
1924,14402.655999999999,168.761
1925,14446.621000000001,167.645
1926,13810.574,164.693
1927,15550.751,181.952
1928,15515.792,184.037
1929,16691.731,197.108
1930,15489.175000000001,186.202
1931,13977.741,171.058
1932,12713.161999999998,159.593
1933,13325.155999999999,166.793
1934,14527.162,184.689
1935,15248.612000000001,195.757
1936,16624.023,222.767
1937,17842.228,256.048
1938,17078.09,251.201
1939,17922.071,318.584
1940,19471.224,335.097
1941,19619.19,298.489
1942,19228.625,264.872
1943,19517.541999999998,282.762
1944,19546.76,298.112
1945,15577.447,235.024
1946,17609.947,301.375
1947,19668.753,453.31
1948,20801.448,302.303
1949,20731.15,567.429
1950,23169.454,937.982
1951,24738.046,1207.012
1952,25177.421,830.696
1953,25900.943,876.218
1954,26717.407,1369.598
1955,29232.219,1207.104
1956,31155.905,1409.029
1957,32261.163,1090.737
1958,33082.695999999996,991.735
1959,34591.484,1113.183
1960,36562.94,1022.124
1961,36951.149,1040.369
1962,38456.386,1076.835
1963,40768.65,1133.193
1964,42886.854,1145.384
1965,44787.449,1103.664
1966,46740.015999999996,1064.2450000000001
1967,48230.566,1129.137
1968,50858.863,1123.72
1969,54191.529,1321.271
1970,58411.583999999995,1418.579
1971,60791.844000000005,1409.281
1972,63496.235,1410.03
1973,66860.228,1495.595
1974,66762.004,1396.047
1975,66796.932,1286.268
1976,70488.486,1510.628
1977,72168.657,1327.603
1978,74705.17,1298.373
1979,76795.46,1312.562
1980,76563.972,1291.224
1981,74416.512,1187.63
1982,73934.376,1175.09
1983,74520.783,1055.388
1984,76401.405,1203.226
1985,79237.478,1259.742
1986,80157.45,1058.614
1987,82140.353,1056.73
1988,84903.872,1088.414
1989,86013.82400000001,1142.695
1990,88039.255,1151.663
1991,88560.069,1118.964
1992,85705.956,1092.525
1993,85974.994,1126.281
1994,85872.977,1113.855
1995,87284.628,1098.782
1996,89654.734,1112.587
1997,89741.79100000001,1119.22
1998,89306.688,1049.9
1999,90280.058,1062.632
2000,92678.839,1155.905
2001,93657.677,1170.152
2002,95456.068,1169.069
2003,99748.047,1202.474
2004,103867.032,1220.272
2005,106753.594,1223.349
2006,109949.688,1237.182
2007,112735.712,1254.903
2008,114696.288,1244.376
2009,112254.633,1185.287
2010,117903.818,1185.946
2011,121193.743,1177.44
2012,123057.597,1187.091
2013,123338.407,1162.003
2014,123774.735,1166.718
2015,123857.872,1154.129
2016,123937.78,1130.748
2017,125484.864,1137.211
2018,127794.92199999999,1161.474
2019,127617.538,1149.258
